"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Kat7",3357.91995892121,-0.939957642092222,0.215934906473955,-4.35296755601483,1.34307032654578e-05,0.000181598581866524
"Ccng1",2184.80222186893,-0.940709555259199,0.246426751800745,-3.81740029597045,0.000134865260351499,0.00119313659658435
"Lrrn1",340.757626862141,-0.941590870777286,0.249268337829076,-3.77741866045954,0.000158462232923449,0.00136023980741489
"Gmip",161.524153940575,-0.941698904878702,0.35471723734933,-2.65478754828964,0.00793583712928275,0.0312564618133418
"Cnih2",4642.63480397489,-0.942142802104021,0.260754640229021,-3.61313916130711,0.000302512238797347,0.00229114574514941
"Spcs3",1384.37623047215,-0.943635121806143,0.288360714035976,-3.27241221107676,0.00106633982372567,0.00632394663719188
"Slc1a3",2018.13672911856,-0.94387405383203,0.30711312272306,-3.07337584751521,0.00211651735461291,0.0110053041540308
"C230057M02Rik",380.851288602204,-0.944309902292838,0.346457575404102,-2.72561482077975,0.00641818486019434,0.0264536570350846
"Jup",1004.35316622797,-0.944700912351783,0.334865293486208,-2.82113712805741,0.00478537424006609,0.0210932781203852
"Syne2",324.249468208294,-0.944897786952715,0.259310591096733,-3.64388428161128,0.000268554198079969,0.00208486881837586
"Trim35",8690.32186366061,-0.945053888610133,0.230428907010028,-4.10128182645506,4.10867782505328e-05,0.000460945170186336
"Prickle1",2260.32801453059,-0.945702976142199,0.29193580573403,-3.23942098765298,0.00119772645958529,0.00693877627300049
"Tbccd1",509.901889138299,-0.946259671037613,0.269868901761476,-3.50636796185566,0.000454266754996526,0.00319027358277597
"Slc25a46",4873.80629330642,-0.946273966709673,0.245698875724953,-3.85135651889989,0.000117465344814945,0.00106620206030822
"Gria4",674.028151245523,-0.946608563580865,0.243302582883615,-3.89066384894763,9.99703454088924e-05,0.0009304550983472
"Abhd18",226.100914618624,-0.947331484728758,0.294764820384506,-3.21385531520692,0.00130965647967805,0.00741842369446596
"Aldh3a2",1479.20881514185,-0.947565679884135,0.208482903865849,-4.54505219523352,5.49216426868045e-06,8.65721843065244e-05
"Pid1",2225.6098879904,-0.947726916154376,0.266935510931202,-3.55039654652256,0.00038465128153835,0.00279536586486395
"Vps50",1596.46765687509,-0.947741575297895,0.285801018112311,-3.31608887035337,0.000912867943893048,0.00557906908019212
"Tmem181a",514.714536167434,-0.947875739737158,0.250085727032151,-3.79020326743916,0.00015052405490885,0.00130673884968451
"Ivns1abp",5180.27715810812,-0.948018523956458,0.239996803325441,-3.95012979681619,7.8108823733818e-05,0.000765894745515283
"Nedd4",5760.62686541828,-0.948096532667814,0.219889337939539,-4.31169851868173,1.62005229092577e-05,0.000210522712061305
